name;coords;phone-number;rating;address;working-hours;category;place_id
Дель Порто;[49.153561, 55.791174];+7 (903) 344-79-81;3.9;ул. Вишневского, 3, Казань;['Mo 07:00-23:00', 'Tu 07:00-23:00', 'We 07:00-23:00', 'Th 07:00-23:00', 'Fr 07:00-23:00', 'Sa 07:00-23:00', 'Su 07:00-23:00'];кафе;82
Farfalla;[49.094445, 55.820992];+7 (843) 518-93-63;4.1;просп. Ибрагимова, 56, Казань • этаж 3;['Mo 10:00-22:00', 'Tu 10:00-22:00', 'We 10:00-22:00', 'Th 10:00-22:00', 'Fr 10:00-22:00', 'Sa 10:00-22:00', 'Su 10:00-22:00'];кафе;83
Бла-Бла;[49.118455, 55.790088];+7 (953) 499-36-56;4.7;Профсоюзная ул., 34, Вахитовский район, Казань;['Mo 16:00-02:00', 'Tu 16:00-02:00', 'We 16:00-02:00', 'Th 16:00-02:00', 'Fr 16:00-04:00', 'Sa 16:00-04:00', 'Su 16:00-02:00'];кафе;84
Press F;[49.119745, 55.799478];+7 (843) 528-50-30 (доб. 2);4.3;ул. Бехтерева, 9А, Казань • этаж цокольный;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;85
Канпай;[49.137602, 55.774892];+7 (843) 537-76-99;4.2;ул. Павлюхина, 57, Казань • этаж 2;['Mo 11:00-23:00', 'Tu 11:00-23:00', 'We 11:00-23:00', 'Th 11:00-23:00', 'Fr 11:00-23:00', 'Sa 11:00-23:00', 'Su 11:00-23:00'];кафе;86
Хинкальная;[49.102404, 55.787315];+7 (843) 212-21-22;4.8;ул. Чернышевского, 43/2, КазаньНедалеко от озера Нижний Кабан и улицы Бурхана Шахиди;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;87
Кафе-пельменная Ай да пельмени;[49.104109, 55.788631];+7 (843) 215-01-90;4.6;ул. Гаяза Исхаки, 8, Казань;['Mo 10:00-21:00', 'Tu 10:00-21:00', 'We 10:00-21:00', 'Th 10:00-21:00', 'Fr 10:00-21:00', 'Sa 10:00-21:00', 'Su 10:00-21:00'];кафе;88
Fenik$;[49.103756, 55.827645];+7 (843) 297-18-69;4.0;просп. Ямашева, 36, корп. 3, Казань;['Mo 08:00-19:00', 'Tu 08:00-19:00', 'We 08:00-19:00', 'Th 08:00-19:00', 'Fr 08:00-19:00', 'Sa 08:00-19:00', 'Su 08:00-19:00'];кафе;89
Тархан;[49.112995, 55.782396];;4.3;ул. Парижской Коммуны, 14, Казань;['Mo 09:00-19:00', 'Tu 09:00-19:00', 'We 09:00-19:00', 'Th 09:00-19:00', 'Fr 09:00-19:00', 'Sa 09:00-19:00'];кафе;90
Сююмбике;[49.13693, 55.796157];+7 (917) 929-72-62;4.3;Большая Красная ул., 64, Вахитовский район, Казаньэтаж цокольный;['Mo 09:00-19:00', 'Tu 09:00-19:00', 'We 09:00-19:00', 'Th 09:00-19:00', 'Fr 09:00-19:00', 'Sa 09:00-19:00'];кафе;91
